store,date,isholiday,weekly_sales,size,fuel_price,cpi,unemployment
1,2012-01-13,False,20557.76295774648,151315,3.261,219.8925263,7.348
1,2011-01-14,False,19591.745915492957,151315,2.983,211.4574109,7.742
1,2012-01-20,False,19101.285479452057,151315,3.268,219.9856893,7.348
1,2011-01-21,False,18436.186388888887,151315,3.016,211.8272343,7.742
1,2012-01-27,False,18847.50842857143,151315,3.29,220.0788523,7.348
1,2011-01-28,False,18547.877605633803,151315,3.01,212.1970577,7.742
1,2012-01-06,False,21532.915555555555,151315,3.157,219.7142581,7.348
1,2011-01-07,False,20065.72611111111,151315,2.976,211.4047419,7.742
1,2010-10-01,False,19908.62328767123,151315,2.603,211.6719895,7.838
1,2012-10-12,False,21548.942602739728,151315,3.601,223.3812965,6.573
1,2011-10-14,False,20743.415694444444,151315,3.274,217.3552733,7.866
1,2010-10-15,False,19991.905479452056,151315,2.72,211.8137436,7.838
1,2012-10-19,False,21240.405211267607,151315,3.594,223.4257233,6.573
1,2011-10-21,False,20868.9275,151315,3.353,217.5159762,7.866
1,2010-10-22,False,18430.87671232877,151315,2.725,211.8612937,7.838
1,2012-10-26,False,20745.274166666666,151315,3.506,223.4442513,6.573
1,2011-10-28,False,20072.90402777778,151315,3.372,217.6766791,7.866
1,2010-10-29,False,19225.128055555557,151315,2.716,211.9088438,7.838
1,2012-10-05,False,23205.360694444444,151315,3.617,223.1814772,6.573
1,2011-10-07,False,22652.638194444444,151315,3.285,217.0453684,7.866
1,2010-10-08,False,20660.820958904107,151315,2.633,211.7467544,7.838
1,2011-11-11,False,22151.92902777778,151315,3.297,217.9980849,7.866
1,2010-11-12,False,20472.321780821916,151315,2.728,212.003944,7.838
1,2011-11-18,False,21381.718055555553,151315,3.308,218.2205088,7.866
1,2010-11-19,False,20608.113611111112,151315,2.771,211.8896737,7.838
1,2011-11-25,True,27853.707671232874,151315,3.236,218.4676211,7.866
1,2010-11-26,True,27161.445972222224,151315,2.735,211.7484333,7.838
1,2011-11-04,False,23572.633055555558,151315,3.332,217.837382,7.866
1,2010-11-05,False,21550.823333333334,151315,2.689,211.9563939,7.838
1,2010-12-10,False,23698.7923943662,151315,2.843,211.4659526,7.838
1,2011-12-16,False,26127.45375,151315,3.159,219.1794533,7.866
1,2010-12-17,False,26264.374027777776,151315,2.869,211.4053124,7.838
1,2011-12-02,False,21699.7801369863,151315,3.172,218.7147333,7.866
1,2011-12-23,False,30678.2295945946,151315,3.112,219.3577216,7.866
1,2010-12-24,False,33165.975000000006,151315,2.886,211.4051222,7.838
1,2010-12-03,False,21803.29267605634,151315,2.708,211.607193,7.838
1,2011-12-30,True,20513.187945205478,151315,3.129,219.5359898,7.866
1,2010-12-31,True,19258.028309859154,151315,2.943,211.4049321,7.838
1,2011-12-09,False,24653.183287671232,151315,3.158,218.9618456,7.866
1,2012-02-10,True,24691.471643835615,151315,3.409,220.2651783,7.348
1,2011-02-11,True,22911.31847222222,151315,3.022,212.9367046,7.742
1,2010-02-12,True,22804.964444444442,151315,2.548,211.2421698,8.106
1,2012-02-17,False,24929.72602739726,151315,3.51,220.4257586,7.348
1,2011-02-18,False,23428.371944444443,151315,3.045,213.2478853,7.742
1,2010-02-19,False,22081.755753424655,151315,2.514,211.2891429,8.106
1,2012-02-24,False,21380.38652777778,151315,3.555,220.636902,7.348
1,2011-02-25,False,20233.337222222224,151315,3.065,213.535609,7.742
1,2010-02-26,False,19579.54986111111,151315,2.561,211.3196429,8.106
1,2012-02-03,False,22726.939583333333,151315,3.36,220.1720153,7.348
1,2011-02-04,False,22628.585633802817,151315,2.989,212.5668812,7.742
1,2010-02-05,False,22516.313698630136,151315,2.572,211.0963582,8.106
1,2011-03-11,False,20989.07608108108,151315,3.459,214.1110564,7.742
1,2010-03-12,False,19719.74780821918,151315,2.667,211.3806429,8.106
1,2012-03-16,False,23298.233055555556,151315,3.734,221.2118132,7.348
1,2011-03-18,False,21900.250833333335,151315,3.488,214.3627114,7.742
1,2010-03-19,False,20451.608194444445,151315,2.72,211.215635,8.106
1,2012-03-02,False,23450.288333333334,151315,3.63,220.8480454,7.348
1,2012-03-23,False,21282.64887323944,151315,3.787,221.2864126,7.348
1,2011-03-25,False,21705.667323943664,151315,3.473,214.5999389,7.742
1,2010-03-26,False,19505.97111111111,151315,2.732,211.0180424,8.106
1,2012-03-30,False,23233.868028169014,151315,3.845,221.3610119,7.348
